project,mutations,killed,% killed
reactor-extension,56,48,85.71
extension-tracing,206,140,67.96
spring-session-data-mongodb,202,147,72.77
synapse,32,7,21.88
kestrel,107,38,35.51
code-samples,165,17,10.3
spring-data-commons,11763,6985,59.38
finmath-smart-derivative-contract,977,162,16.58
retrofit-spring-boot-starter,1091,474,43.45
vertx-spring-boot,1290,621,48.14
cloud-security-services-integration-library,150,117,78.0
occurrent,121,50,41.32
r2dbc-h2,828,560,67.63
hilla-push,273,1,0.37
pokeapi-reactor,570,54,9.47
reactive-grpc-demo,454,35,7.71
AxonFramework,8342,4558,54.64
Joiner,837,631,75.39
kafka-streams-log-correlation,14,0,0.0
camel-quarkus,134,26,19.4
shadow-tool,54,40,74.07
extension-reactor,179,128,71.51
rxmicro,1041,492,47.26
giftcard-demo,56,16,28.57
couchbase-jvm-clients,475,0,0.0
HtmlFlow,271,212,78.23
promregator,1306,762,58.35
reactor-flow,442,380,85.97
smallrye-mutiny,125,112,89.6
r2dbc-pool,397,258,64.99
lettuce-core,18823,5258,27.93
spring-security-ltpa2-core,187,122,65.24

TOTAL,50968,22451,44.05
